authors,title,description,copies,publisher,pages,isbn10,kind,image,durataprestito,condizioniestensione
Isaac Asimov,Foundation,"For twelve thousand years the Galactic Empire has ruled supreme. Now it is dying. But only Hari Sheldon, creator of the revolutionary science of psychohistory, can see into the future--to a dark age of ignorance, barbarism, and warfare that will last thirty thousand years. To preserve knowledge and save mankind, Seldon gathers the best minds in the Empire--both scientists and scholars--and brings them to a bleak planet at the edge of the Galaxy to serve as a beacon of hope for a fututre generations. He calls his sanctuary the Foundation. But soon the fledgling Foundation finds itself at the mercy of corrupt warlords rising in the wake of the receding Empire. Mankind's last best hope is faced with an agonizing choice: submit to the barbarians and be overrun--or fight them and be destroyed.",5,Spectra,320,553900345,fantascienza,/copertina libri/Foundation.jpg,30,È possibile estendere il prestito per altri 30 giorni.
George Orwell,“1984”,"George Orwell’s 1984 takes on new life with extraordinary relevance and renewed popularity. “Orwell saw, to his credit, that the act of falsifying reality is only secondarily a way of changing perceptions. It is, above all, a way of asserting power.”—The New Yorker In 1984, London is a grim city in the totalitarian state of Oceania where Big Brother is always watching you and the Thought Police can practically read your mind. Winston Smith is a man in grave danger for the simple reason that his memory still functions. Drawn into a forbidden love affair, Winston finds the courage to join a secret revolutionary organization called The Brotherhood, dedicated to the destruction of the Party. Together with his beloved Julia, he hazards his life in a deadly match against the powers that be. Lionel Trilling said of Orwell’s masterpiece, “1984 is a profound, terrifying, and wholly fascinating book. It is a fantasy of the political future, and like any such fantasy, serves its author as a magnifying device for an examination of the present.” Though the year 1984 now exists in the past, Orwell’s novel remains an urgent call for the individual willing to speak truth to power.",5,Houghton Mifflin Harcourt,648,5472496430,fantascienza,/copertina libri/1984.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Ray Bradbury,Fahrenheit 451,"For use in schools and libraries only. A totalitarian regime has ordered all books to be destroyed, but one of the book burners suddenly realizes their merit.",5,Simon & Schuster,192,6718742295,fantascienza,/copertina libri/Fahrenheit451.jpg,30,È possibile estendere il prestito per altri 30 giorni.
James G. Ballard,Il condominio,"Il condominio futuristico che ci descrive Ballard nel suo romanzo, è una città verticale di quaranta piani con duemila abitanti chiusi dentro una scatola di cemento dalla terra al cielo, posto in una zona residenziale di Londra. Tutti i condomini sono proprietari dello stabile gestito da un amministratore abitante nel grattacielo insieme ad alcuni dipendenti. All'interno tutti i confort, il decimo piano grande come una portaerei contiene una serie di servizi come una banca, un supermarket, una palestra, uno spaccio di alcolici, una piscina e una scuola materna per i pochi bimbi del condominio, salendo più in alto al trentacinquesimo piano ci sono altri servizi di lusso: una seconda piscina, una sauna e un ristorante. Ma questo condominio è diviso anche in tre classici ceti sociali: alto, medio e basso che saranno decisivi ai fini del romanzo, portando i loro inquilini in una sorta di imbarbarimento.",5,Feltrinelli,192,8807817551,fantascienza,/copertina libri/IlCondominio.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Philip K. Dick,La svastica sul sole,"Stati Uniti d'America, 1962. La schiavitù è di nuovo legale, i pochi ebrei sopravvissuti si nascondono dietro falsi nomi, la California è asservita al Giappone. Vent'anni prima l'asse ha vinto la seconda guerra mondiale, e si è spartito l'America. Sul resto del mondo incombe una realtà da incubo: il credo della superiorità razziale ariana ha soffocato ogni volontà o possibilità di riscatto. L'Africa è ridotta a deserto, vittima di una soluzione radicale di sterminio, mentre l'Italia ha ottenuto solo le briciole dell'immenso potere dell'Europa.",5,Fanucci,336,8834710878,fantascienza,/copertina libri/LaSvasticaSulSole.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Natalie Gillespie,Believing in Narnia,"Shows the Christian message within The Chronicles of Narnia® To coincide with the release of Prince Caspian, this book helps kids ages 7-11, understand the symbolism of the Christian faith written by C.S. Lewis in the Chronicles of Narnia series. Christian concepts are simply explained, along with excerpts from the Narnia books. Each section of the book explains the characters, events, places, and themes and gives insight in the spiritual parallels. Kids, parents, teachers and ministers will all find this to be a great tool for use in preparing to see the movie.",5,Thomas Nelson,192,1418573116,fantasy,/copertina libri/believingInNarnia.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Suzanne Collins,Catching Fire (The Second Book of the Hunger Games),"Against all odds, Katniss Everdeen has won the annual Hunger Games with fellow district tribute Peeta Mellark. But it was a victory won by defiance of the Capitol and their harsh rules. Katniss and Peeta should be happy. After all, they have just won for themselves and their families a life of safety and plenty. But there are rumors of rebellion among the subjects, and Katniss and Peeta, to their horror, are the faces of that rebellion. The Capitol is angry. The Capitol wants revenge.",5,Scholastic Inc.,400,545227240,fantasy,/copertina libri/CatchingFire.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Terry Brooks,Dark Wraith of Shannara,"THE FIRST-EVER GRAPHIC NOVEL SET IN THE WORLD OF SHANNARA! Possessing an awesome power he is only beginning to understand, young Jair Ohmsford must summon the devastating yet darkly seductive magic of the wishsong on a fateful mission to save his friends . . . and protect the future from the forces of evil. If you’ve never ventured into the wondrous world of Shannara, consider this an ideal opportunity. Prepare to enter the breathtaking realm of the Four Lands, where beings both noble and sinister have quested and clashed, crossed swords in the names of darkness and light, and engaged in adventures rich with mystery and majesty. “Terry’s place is at the head of the fantasy world.” –Philip Pullman, author of The Golden Compass",5,Ballantine Group,208,345546458,fantasy,/copertina libri/DarkWraithOfShannara.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Steven Erikson,Deadhouse Gates,"In the vast dominion of Seven Cities, in the Holy Desert Raraku, the seer Sha'ik and her followers prepare for the long-prophesied uprising known as the Whirlwind. Unprecedented in size and savagery, this maelstrom of fanaticism and bloodlust will embroil the Malazan Empire in one of the bloodiest conflicts it has ever known, shaping destinies and giving birth to legends . . . Set in a brilliantly realized world ravaged by dark, uncontrollable magic, this thrilling novel of war, intrigue and betrayal confirms Steven Eirkson as a storyteller of breathtaking skill, imagination and originality--a new master of epic fantasy. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",5,Macmillan,608,1429926495,fantasy,/copertina libri/DeadHouseGates.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Robin Hobb,Dragon Keeper,"“Robin Hobb is one of our very best fantasy writers.” New York Times bestselling author Kevin J. Anderson With Dragon Keeper, Robin Hobb, critically acclaimed, New York Times bestselling “master fantasist” (Baltimore Sun), begins a breathtaking new series about the resurgence of dragons in a world that both needs and fears them—the world Hobb’s readers most recently visited in her immensely popular “Tawny Man” trilogy. Volume One of the Rain Wilds Chronicles, Dragon Keeper is yet another magnificent adventure from the author of The Soldier Son and Farseer Trilogies, confirming the Contra Costa Times of California’s assessment of Hobb as “one of the most important writers in 21st century fantasy.”",5,Harper Collins,528,61966142,fantasy,/copertina libri/DragonKeeper.jpg,30,È possibile estendere il prestito per altri 30 giorni.
George R. R. Martin,Fire and Blood,"#1 NEW YORK TIMES BESTSELLER • The thrilling history of the Targaryens comes to life in this masterly work by the author of A Song of Ice and Fire, the inspiration for HBO’s Game of Thrones. Centuries before the events of A Game of Thrones, House Targaryen—the only family of dragonlords to survive the Doom of Valyria—took up residence on Dragonstone. Fire & Blood begins their tale with the legendary Aegon the Conqueror, creator of the Iron Throne, and goes on to recount the generations of Targaryens who fought to hold that iconic seat, all the way up to the civil war that nearly tore their dynasty apart. What really happened during the Dance of the Dragons? Why was it so deadly to visit Valyria after the Doom? What were Maegor the Cruel’s worst crimes? What was it like in Westeros when dragons ruled the skies? These are but a few of the questions answered in this essential chronicle, as related by a learned maester of the Citadel and featuring more than eighty all-new black-and-white illustrations by artist Doug Wheatley. Readers have glimpsed small parts of this narrative in such volumes as The World of Ice & Fire, but now, for the first time, the full tapestry of Targaryen history is revealed. With all the scope and grandeur of Gibbon’s The History of the Decline and Fall of the Roman Empire, Fire & Blood is the the first volume of the definitive two-part history of the Targaryens, giving readers a whole new appreciation for the dynamic, often bloody, and always fascinating history of Westeros. Praise for Fire & Blood “I love it so much. Fire & Blood is Martin Unbound . . . and I couldn’t put it down. . . . There’s an addictive quality to the prose that’s outright gossipy. . . . The obvious comparison here is J.R.R. Tolkien’s The Silmarillion. . . . Writing centuries after the events he’s describing, the Gyldayn voice complicates this game of thrones with a clash of perspectives and a storm of debatable facts. . . . Heavy stuff, but Fire & Blood flies.”—Entertainment Weekly “A masterpiece of popular historical fiction.” —The Sunday Times “The saga is a rich and dark one, full of both the title’s promised elements. . . . It’s hard not to thrill to the descriptions of dragons engaging in airborne combat, or the dilemma of whether defeated rulers should ‘bend the knee,’ ‘take the black’ and join the Night’s Watch, or simply meet an inventive and horrible end.”—The Guardian",5,Bantam,736,1524796298,fantasy,/copertina libri/FireAndBlood.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Terry Brooks,First King of Shannara,"BONUS: This edition contains an excerpt from Terry Brooks's The Measure of the Magic. Horrified by the misuse of magic they had witnessed during the First War of the Races, the Druids at Paranor devoted themselves to the study of the old sciences, from the period before the collapse of civilization a thousand years before. Only the Bremen and a few trusted associates still studied the arcane arts. And for his persistence, Bremen found himself outcast, avoided by all but the few free-thinkers among the Druids. But his removal from Paranor was not altogether a terrible thing, for Bremen learned that dark forces were on the move from the Northlands. That seemingly invincible armies of trolls were fast conquering all that lay to their south. That the scouts for the army--and its principal assassins--were Skull Bearers, disfigured and transformed Druids who had fallen prey to the seductions of the magic arts. And that at the heart of the evil tide was an archmage and former Druid named Brona! Using the special skills he had acquired through his own study of Magic, Bremen was able to penetrate the huge camp of the Troll army and learn many of its secrets. And he immediately understood that if the peoples of the Four Lands were to escape eternal subjugation they would need to unite. But, even united, they would need a weapon, something so powerful that the evil magic of Brona, the Warlock Lord, would fail before its might...",5,Del Rey,448,345444639,fantasy,/copertina libri/FirstKingOfShannara.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Running Press,Game of Thrones: The Noble Houses of Westeros,"You Win or You Die. In the seven kingdoms of Westeros, an intricate and perilous game is being played out among its participants, the great and noble houses. Alliances are formed, wars are waged, kings are murdered, and new monarchs are crowned. Game of Thrones: The Noble Houses of Westeros Seasons 1–5 serves as a guide to the key houses as their constant struggle for power persists and as the hierarchical structure of the kingdom evolves. The book is filled with essential information including each house’s sigil, history, home, family tree, character profiles, and is fully illustrated with series photography throughout.",5,Running Press,144,762460407,fantasy,/copertina libri/GameOfThrones_TheNobleHouseOfWesteros.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Steven Erikson,Gardens Of The Moon,"Bled dry by interminable warfare, infighting and bloody confrontations with Lord Anomander Rake and his Tiste Andii, the vast, sprawling Malazan empire simmers with discontent. Even its imperial legions yearn for some respite. For Sergeant Whiskeyjack and his Bridgeburners and for Tattersail, sole surviving sorceress of the Second Legion, the aftermath of the siege of Pale should have been a time to mourn the dead. But Darujhistan, last of the Free Cities of Genabackis, still holds out - and Empress Lasseen's ambition knows no bounds. However, it seems the empire is not alone in this great game. Sinister forces gather as the gods themselves prepare to play their hand... Conceived and written on an epic scale, Gardens of the Moon is a breathtaking achievement - a novel in which grand design, a dark and complex mythology, wild and wayward magic and a host of enduring characters combine with thrilling, powerful storytelling to resounding effect. Acclaimed by writers, critics and readers alike, here is the opening chapter in what has been hailed a landmark of epic fantasy: the awesome 'The Malazan Book of the Fallen'.",5,Random House,768,1409083101,fantasy,/copertina libri/GardensOfTheMoon.jpg,30,È possibile estendere il prestito per altri 30 giorni.
"J.K. Rowling,John Tiffany,Jack Thorne",Harry Potter and the Cursed Child – Parts One and Two (Special Rehearsal Edition),"Based on an original new story by J.K. Rowling, Jack Thorne and John Tiffany, a new play by Jack Thorne, Harry Potter and the Cursed Child is the eighth story in the Harry Potter series and the first official Harry Potter story to be presented on stage. The play received its world premiere in London’s West End on 30th July 2016. It was always difficult being Harry Potter and it isn’t much easier now that he is an overworked employee of the Ministry of Magic, a husband and father of three school-age children. While Harry grapples with a past that refuses to stay where it belongs, his youngest son Albus must struggle with the weight of a family legacy he never wanted. As past and present fuse ominously, both father and son learn the uncomfortable truth: sometimes, darkness comes from unexpected places.",5,Pottermore,320,1781107041,fantasy,/copertina libri/HarryPotterAndTheCursedChild.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Robert Holdstock,Celtika,"Having participated in Jason's search for the Golden Fleece centuries earlier, Merlin encounters a haunted ship and realizes that Jason still seeks the sons who were stolen by the enchantress Medea. Reprint.",5,Macmillan,384,7653490143,fantasy,/copertina libri/Celtika.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Ursula K. Le Guin,Tales from Earthsea,"Explores further the magical world of Earthsea through five tales of events which occur before or after the time of the original novels, as well as an essay on the people, languages, history, and magic of the place.",5,Houghton Mifflin Harcourt,394,5477220474,fantasy,/copertina libri/TalesFromEarthSea.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Suzanne Collins,The Hunger Games,"First in the ground-breaking HUNGER GAMES trilogy. Set in a dark vision of the near future, a terrifying reality TV show is taking place. Twelve boys and twelve girls are forced to appear in a live event called The Hunger Games. There is only one rule: kill or be killed. When sixteen-year-old Katniss Everdeen steps forward to take her younger sister's place in the games, she sees it as a death sentence. But Katniss has been close to death before. For her, survival is second nature.",5,Scholastic,464,1407133179,fantasy,/copertina libri/TheHungerGames.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Michael Ward,The Narnia Code,"Millions of readers have been captivated by C. S. Lewis’s famed Chronicles of Narnia, but why? What is it about these seven books that makes them so appealing? For more than half a century, scholars have attempted to find the organizing key—the “secret code”—to the beloved series, but it has remained a mystery. Until now. In The Narnia Code, Michael Ward takes the reader through each of the seven Narnia books and reveals how each story embodies and expresses the characteristics of one of the seven planets of medieval cosmology—Jupiter, Mars, Sol, Luna, Mercury, Venus and Saturn—planets which Lewis described as “spiritual symbols of permanent value.” How does medieval cosmology relate to the Christian underpinnings of the series? How did it impact Lewis’s depiction of Aslan, the Christlike character at the heart of the books? And why did Lewis keep this planetary inspiration a secret? Originally a ground-breaking scholarly work called Planet Narnia, this more accessible adaptation will answer all the questions.",5,"Tyndale House Publishers, Inc.",208,1414346956,fantasy,/copertina libri/TheNarniaCode.jpg,30,È possibile estendere il prestito per altri 30 giorni.
N. K. Jemisin,The Stone Sky,"The shattering conclusion to the post-apocalyptic and highly acclaimed New York Times bestselling trilogy that began with The Fifth Season, winner of the Hugo Award for Best Novel in 2016, and The Obelisk Gate, winner of the Hugo Award for Best Novel in 2017. The Moon will soon return. Whether this heralds the destruction of humankind or something worse will depend on two women. Essun has inherited the power of Alabaster Tenring. With it, she hopes to find her daughter Nassun and forge a world in which every orogene child can grow up safe. For Nassun, her mother's mastery of the Obelisk Gate comes too late. She has seen the evil of the world, and accepted what her mother will not admit: that sometimes what is corrupt cannot be cleansed, only destroyed. THIS IS THE WAY THE WORLD ENDS... FOR THE LAST TIME. ""Extraordinary."" - New York Times on The Fifth Season The Broken EarthThe Fifth SeasonThe Obelisk GateThe Stone Sky For more from N. K. Jemisin, check out: The Inheritance TrilogyThe Hundred Thousand KingdomsThe Broken KingdomsThe Kingdom of Gods The Inheritance Trilogy (omnibus edition)Shades in Shadow: An Inheritance Triptych (e-only short fiction)The Awakened Kingdom (e-only novella) Dreamblood DuologyThe Killing MoonThe Shadowed Sun The Dreamblood Duology (omnibus)",5,Orbit,464,3162292593,fantasy,/copertina libri/TheStoneSky.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Terry Brooks,Wards of Faerie,"Seven years after the conclusion of the High Druid of Shannara trilogy, New York Times bestselling author Terry Brooks at last revisits one of the most popular eras in the legendary epic fantasy series that has spellbound readers for more than three decades. Tumultuous times are upon the world now known as the Four Lands. Users of magic are in conflict with proponents of science. The dwindling Druid order is threatened with extinction. A sinister politician has used treachery and murder to rise as prime minister of the mighty Federation. Meanwhile, poring through a long-forgotten diary, the young Druid Aphenglow Elessedil has stumbled upon the secret account of an Elven girl’s heartbreak and the shocking truth about the vanished Elfstones, which once warded the lands and kept evil at bay. But never has a little knowledge been so very dangerous—as Aphenglow quickly learns when she’s set upon by assassins. Yet there can be no turning back from the road to which fate has steered her. Whoever captures the Elfstones and their untold powers will surely hold the advantage in the devastating clash to come. BONUS: This edition includes an excerpt from Terry Brooks's Bloodfire Quest. “I can’t even begin to count how many of Terry Brooks’s books I’ve read (and reread) over the years. From Shannara to Landover, his work was a huge part of my childhood.”—Patrick Rothfuss, New York Times bestselling author of The Name of the Wind “Shannara was one of my favorite fictional worlds growing up, and I look forward to many return trips.”—Karen Russell, New York Times bestselling author of Swamplandia! “If Tolkien is the grandfather of modern fantasy, Terry Brooks is its favorite uncle.”—Peter V. Brett, New York Times bestselling author of the Demon Cycle series",5,Del Rey,384,3455234902,fantasy,/copertina libri/WardsOfWaerie.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Amelia Atwater-Rhodes,Demon in My View,"Jessica isn't your average teenager. Though nobody at her high school knows it, she's a published author. Her vampire novel Tiger, Tiger has just come out under the pen name Ash Night. Jessica often wishes she felt as comfortable with her classmates as she does among the vampires and witches of her fiction. She has always been treated as an outsider at Ramsa High. But two new students have just arrived in Ramsa, and both want Jessica's attention. She has no patience with overly friendly Caryn, but she's instantly drawn to handsome Alex, a cocky, mysterious boy who seems surprisingly familiar. If she didn't know better, she'd think Aubrey, the alluring villain from Tiger, Tiger had just sprung to life. That's impossible, of course; Aubrey is a figment of her imagination. Or is he? Nail-bitingly suspenseful, here is the deliciously eerie follow-up to In the Forests of the Night, by the remarkable fifteen-year-old novelist Amelia Atwater-Rhodes. From the Hardcover edition.",5,Laurel Leaf,192,307483725,giallo,/copertina libri/ADemoninMyView.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Ruth Rendell,A Judgement in Stone,"What on earth could have provoked a modern day St. Valentine's Day massacre? On Valentine's Day, four members of the Coverdale family--George, Jacqueline, Melinda and Giles--were murdered in the space of 15 minutes. Their housekeeper, Eunice Parchman, shot them, one by one, in the blue light of a televised performance of Don Giovanni. When Detective Chief Superintendent William Vetch arrests Miss Parchman two weeks later, he discovers a second tragedy: the key to the Valentine's Day massacre hidden within a private humiliation Eunice Parchman has guarded all her life. A brilliant rendering of character, motive, and the heady discovery of truth, A Judgement in Stone is among Ruth Rendell's finest psychological thrillers.",5,Vintage Crime/Black Lizard,208,307557189,giallo,/copertina libri/AJudgementinStone.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Ira Levin,A Kiss Before Dying,"He's a handsome young man, appealing and very charming. The kind of man who can get away with murder. And worse, he's the kind of man who can convince himself that murder is merely a means to an end - not a crime. So the killing of his pregnant girlfriend is only a prelude to multiple murder, in a mystery that is as compelling - and chilling - as it is unpredictable. Engagingly written, cleverly crafted, and deftly plotted, this is suspense entertainment at its best.",5,Center Point Pub,304,1585471488,giallo,/copertina libri/AKissBeforeDying.jpg,30,È possibile estendere il prestito per altri 30 giorni.
"Ellis Peters,Peter Ellis",A Morbid Taste for Bones,"In 1137, the Abbot of Shrewsbury decides to acquire the remains of St Winifred. Brother Cadfael is part of the expedition sent to her final resting place in Wales and they find the villagers passionately divided by the Benedictines' offer for the saint's relics.",5,Head of Zeus,295,1784080519,giallo,/copertina libri/AMorbidTasteforBones.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Tony Hillerman,A Thief of Time,"Chilling discoveries unearthed at a dig for Navajo clay pots bring Lt. Joe Leaphorn and Officer Jim Chee of the Navajo Police to the site and put them on the trail of stolen artifacts, a missing woman, and bizarre and mystifying murders. Reissue.",5,Harper Collins,334,61000043,giallo,/copertina libri/AThiefofTime.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Margaret Millar,Beast in View,"Hailed as one of the greatest psychological mysteries ever written and winner of the 1956 Mystery Writers of America Edgar Award for Best Novel, Beast in View remains as freshly sinister today as the day it was first published. Thirty-year-old Helen Clarvoe is scared and all alone. The heiress of a small fortune, she is resented by her mother and, to a lesser degree, her brother. The only person who seemingly cares for her is the family’s attorney, Paul Blackshear. A shut-in, Helen maintains her residence in an upscale hotel downtown. But passive-aggressive resentment isn’t the only thing hounding Helen Clarvoe. A string of bizarre and sometimes threatening prank phone calls has upended her spinster’s routine. Increasingly threatened, she turns to a reluctant Mr. Blackshear to get to the bottom of these strange calls. Blackshear is doubtful of their seriousness but he quickly realizes that he is in the midst of something far more sinister than he thought possible. As he unravels the mystery of the calls the identity behind them slowly emerges, predatory and treacherous.",5,Soho Press,170,1681990121,giallo,/copertina libri/BeastinView.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Graham Greene,Brighton Rock,"Pinkie, a boy gangster in pre-war Brighton, is a Catholic dedicated to evil and damnation. In a dark setting of double crossing and razor slashes, his ambition and hatreds are horribly fulfilled, until Ida determines to convict him for murder.",5,Penguin,246,140184929,giallo,/copertina libri/BrightonRock.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Ed McBain,Cop Hater,"""The murder of three detectives in quick succession in the 87th Precinct leads Detective Steve Carella on a search through the city's underside and ultimately into the murderer's sights""--NoveList.",5,Simon and Schuster,272,671775472,giallo,/copertina libri/CopHater.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Leonard Goldberg,The Daughter of Sherlock Holmes,"2017 RT Reviewers' Choice—Best Historical Mystery From USA Today and internationally bestselling author Leonard Goldberg comes The Daughter of Sherlock Holmes, a new thrilling tale of the great detective’s daughter and her companion Dr. John Watson, Jr. as they investigate a murder at the highest levels of British society. 1914. Joanna Blalock’s keen mind and incredible insight lead her to become a highly-skilled nurse, one of the few professions that allow her to use her finely-tuned brain. But when she and her ten-year-old son witness a man fall to his death, apparently by suicide, they are visited by the elderly Dr. John Watson and his charming, handsome son, Dr. John Watson Jr. Impressed by her forensic skills, they invite her to become the third member of their investigative team. Caught up in a Holmesian mystery that spans from hidden treasure to the Second Afghan War of 1878-1880, Joanna and her companions must devise an ingenious plan to catch a murderer in the act while dodging familiar culprits, Scotland Yard, and members of the British aristocracy. Unbeknownst to her, Joanna harbors a mystery of her own. The product of a one-time assignation between the now dead Sherlock Holmes and Irene Adler, the only woman to ever outwit the famous detective, Joanna has unwittingly inherited her parents’ deductive genius.",5,Minotaur Books,320,1250101050,giallo,/copertina libri/DaughterOfSherlockHolmes.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Laini Taylor,Daughter of Smoke & Bone,"Around the world, black handprints are appearing on doorways, scorched there by winged strangers who have crept through a slit in the sky. In a dark and dusty shop, a devil's supply of human teeth grown dangerously low. And in the tangled lanes of Prague, a young art student is about to be caught up in a brutal otherwordly war. Meet Karou. She fills her sketchbooks with monsters that may or may not be real; she's prone to disappearing on mysterious ""errands""; she speaks many languages--not all of them human; and her bright blue hair actually grows out of her head that color. Who is she? That is the question that haunts her, and she's about to find out. When one of the strangers--beautiful, haunted Akiva--fixes his fire-colored eyes on her in an alley in Marrakesh, the result is blood and starlight, secrets unveiled, and a star-crossed love whose roots drink deep of a violent past. But will Karou live to regret learning the truth about herself?",5,"Little, Brown Books for Young Readers",432,316192147,giallo,/copertina libri/DaughterOfSmoke.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Frederick Forsyth,The Day of the Jackal,"THE CLASSIC THRILLER FROM #1 NEW YORK TIMES BESTSELLING AUTHOR FREDERICK FORSYTH “The Day of the Jackal makes such comparable books such as The Manchurian Candidate and The Spy Who Came in from the Cold seem like Hardy Boy mysteries.”—The New York Times The Jackal. A tall, blond Englishman with opaque, gray eyes. A killer at the top of his profession. A man unknown to any secret service in the world. An assassin with a contract to kill the world's most heavily guarded man. One man with a rifle who can change the course of history. One man whose mission is so secretive not even his employers know his name. And as the minutes count down to the final act of execution, it seems that there is no power on earth that can stop the Jackal.",5,Penguin,432,1101604670,giallo,/copertina libri/TheDayoftheJackal.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Peter Lovesey,The False Inspector Dew,"The year is 1921. A passionate affair between voracious romance reader Alma Webster and her dentist, Walter Baranov, has led to his wife’s murder. The lovers take flight aboard the Mauretania and the dentist takes the name of Inspector Dew, the detective who arrested the notorious wifekiller Dr. Crippen. But, in a disquieting twist, a murder occurs aboard ship and the captain invites “Inspector Dew” to investigate. From the Trade Paperback edition.",5,Soho Press,256,1569478074,giallo,/copertina libri/TheFalseInspectorDew.jpg,30,È possibile estendere il prestito per altri 30 giorni.
"Adrian Flynn,Wilkie Collins",The Woman in White,"Collins' disturbing tale of deceit and trickery, set against a backdrop of Victorian madness and melodrama, has been captured in ths compelling stage version. Walter Hartright, the drawing teacher, re-tells the fascinating story of the sisters Laura and Marian, and of the strange appearance of the Woman in White...",5,Nelson Thornes,106,1743259594,giallo,/copertina libri/TheWomaninWhite.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Francesco Luciani,Accadde tutto in una sola notte,"Francesco Verna è un ragioniere quarantenne che conduce un’esistenza che si potrebbe definire ordinaria: un lavoro, un compagno e molti amici. Negli ultimi tempi, però, il lavoro non lo soddisfa più e anche il suo rapporto di coppia finisce per entrare in crisi. Nel frattempo arriva nella sua vita un primo personaggio piuttosto singolare che si rivelerà inaspettatamente prezioso. Invitato alla festa di fine estate, organizzata dai suoi ex colleghi cassieri del Padova Pride Village, Francesco conosce Marco, un uomo affascinante del quale si invaghisce e ritrova Guido, un amico che non vedeva da tempo. Un anno e mezzo più tardi Marzia, la sorella di Guido, muore stroncata da un tumore; questa vicenda riaccende in Francesco il dolore per la prematura perdita della sua amata sorella Annalisa. Nell’andare al funerale di Marzia, il nostro protagonista si imbatte in due individui alquanto particolari, uno dei quali lo convince ad investigare su un misterioso omicidio. Ma sul più bello, quando tutto ormai sembra aver preso la piega giusta, accade qualcosa che sconvolgerà nuovamente la vita di Francesco.",5,Youcanprint,278,8892636125,comico,/copertina libri/AccaddeTuttoInUnaSolaNotte.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Barney Hoskyns,Across the Great Divide,"(Book). This is a vivid and rollicking account of The Band's journey across three decades. Spanning the history of American rock and boasting a supporting cast that includes Dylan, Janis Joplin, and U2, the book brilliantly captures the raw magic and complex personalities of a group George Harrison called ""the best band in the history of the universe."" This revised U.S. edition includes a postscript, together with an obituary of Rick Danko and a brand-new interview with Robbie Robertson.",5,Hal Leonard Corporation,467,1423414425,comico,/copertina libri/AcrossTheGreatDivide.jpg,30,È possibile estendere il prestito per altri 30 giorni.
"John Cleese,Charles Crichton",A Fish Called Wanda,"(Applause Books). Complete screenplay from this outrageous comedy. "" Wanda defies gravity, in both senses of the word, and redefines a great comic tradition."" Time ""The meanest, most consistently hysterical film in ages ... the writing is sharply pointed and delightfully irreverent."" Gannett Newspapers",5,Hal Leonard Corporation,102,1557830339,comico,/copertina libri/AFishCalledWanda.jpg,30,È possibile estendere il prestito per altri 30 giorni.
Thomas S. Hischak,American Literature on Stage and Screen,"""Each literary work is first described and then every adaptation is examined with a discussion of how accurate the version is and how well it succeeds. In addition to famous novels and short stories by authors, there are also many bestsellers, mysteries, children's books, young adult books, horror novels, science fiction, detective stories, and sensational potboilers""--Provided by publisher.",5,McFarland,308,786492791,comico,/copertina libri/AmericanLiteratureOnStageAndScreen.jpg,30,È possibile estendere il prestito per altri 30 giorni.
"George Simon Kaufman,Bert Kalmar,Morrie Ryskind,Harry Ruby",Animal Crackers,"""A stage vehicle for the Marx Brothers. The scene is the Long Island estate of Mrs. Rittenhouse, a wealthy patroness of the arts with a marriageable daughter. Her celebrity weekend guest is the renowned Captain Jeffrey Spaulding, the African Explorer. He arrives with his secretary, Horatio Jameson, followed by pair of ""musicians"": Ravelli and the Professor. What follows is typical Marxian lunacy, involving a stolen painting, a surreal bridge game, a Broadway gossip columnist named Wally Winston, a financial wizard formerly known as Abie the Fish Peddler, and a climatic burlesque of Marie Antoinette and the Three Musketeers.""--George S. Kaufman website.",5,"Samuel French, Inc.",105,573681376,comico,/copertina libri/AnimalCrackers.jpg,30,È possibile estendere il prestito per altri 30 giorni.
